"Position","Name","Type","Signal","Label"
"65","PE12","I/O","FMC_D9","D9"
"66","PE13","I/O","FMC_D10","D10"
"67","PE14","I/O","FMC_D11","D11"
"68","PE15","I/O","FMC_D12","D12"
"69","PB10","I/O","LTDC_G4","G4"
"70","PB11","I/O","LTDC_G5","G5"
"71","VCAP_1","Power","",""
"72","VDD","Power","",""
"73","PB12","I/O","CAN2_RX",""
"74","PB13","I/O","CAN2_TX",""
"75","PB14","I/O","",""
"76","PB15","I/O","",""
"77","PD8","I/O","FMC_D13","D13"
"78","PD9","I/O","FMC_D14","D14"
"79","PD10","I/O","FMC_D15","D15"
"80","PD11","Input","GPIO_Input","TE [LCD-RGB_TE]"
"81","PD12","Output","GPIO_Output","RDX [LDC-RGB_RDX]"
"82","PD13","Output","GPIO_Output","WRX_DCX [LCD-RGB_WRX_DCX]"
"83","VSS","Power","",""
"84","VDD","Power","",""
"85","PD14","I/O","FMC_D0","D0"
"86","PD15","I/O","FMC_D1","D1"
"87","PG2","I/O","",""
"88","PG3","I/O","",""
"89","PG4","I/O","FMC_BA0","BA0"
"90","PG5","I/O","FMC_BA1","BA1"
"91","PG6","I/O","LTDC_R7","R7"
"92","PG7","I/O","LTDC_CLK","DOTCLK [LCT-RGB_DOTCLK]"
"93","PG8","I/O","FMC_SDCLK","SDCLK"
"94","VSS","Power","",""
"95","VDD","Power","",""
"96","PC6","I/O","LTDC_HSYNC","HSYNC"
"97","PC7","I/O","LTDC_G6","G6"
"98","PC8","I/O","",""
"99","PC9","I/O","I2C3_SDA","I2C3_SDA [ACP/RF_SDA]"
"100","PA8","I/O","I2C3_SCL","I2C3_SCL [ACP/RF_SCL]"
"101","PA9","I/O","USART1_TX","STLINK_RX [STM32F103CBT6_PA3]"
"102","PA10","I/O","USART1_RX","STLINK_TX [STM32F103CBT6_PA2]"
"103","PA11","I/O","LTDC_R4","R4"
"104","PA12","I/O","LTDC_R5","R5"
"105","PA13","I/O","SYS_JTMS-SWDIO","SWDIO"
"106","VCAP_2","Power","",""
"107","VSS","Power","",""
"108","VDD","Power","",""
"109","PA14","I/O","SYS_JTCK-SWCLK","SWCLK"
"110","PA15","I/O","GPIO_EXTI15","TP_INT1 [Touch Panel]"
"111","PC10","I/O","LTDC_R2","R2"
"112","PC11","I/O","",""
"113","PC12","I/O","UART5_TX",""
"114","PD0","I/O","FMC_D2","D2"
"115","PD1","I/O","FMC_D3","D3"
"116","PD2","I/O","UART5_RX",""
"117","PD3","I/O","LTDC_G7","G7"
"118","PD4","I/O","",""
"119","PD5","I/O","",""
"120","VSS","Power","",""
"121","VDD","Power","",""
"122","PD6","I/O","LTDC_B2","B2"
"123","PD7","I/O","",""
"124","PG9","I/O","",""
"125","PG10","I/O","LTDC_G3","G3"
"126","PG11","I/O","LTDC_B3","B3"
"127","PG12","I/O","LTDC_B4","B4"
"128","PG13","Output","GPIO_Output","LD3 [Green Led]"
"129","PG14","Output","GPIO_Output","LD4 [Red Led]"
"130","VSS","Power","",""
"131","VDD","Power","",""
"132","PG15","I/O","FMC_SDNCAS","SDNCAS"
"133","PB3","I/O","",""
"134","PB4","I/O","",""
"135","PB5","I/O","FMC_SDCKE1","SDCKE1"
"136","PB6","I/O","FMC_SDNE1","SDNE1 [SDRAM_CS]"
"137","PB7","I/O","",""
"138","BOOT0","Boot","",""
"139","PB8","I/O","LTDC_B6","B6"
"140","PB9","I/O","LTDC_B7","B7"
"141","PE0","I/O","FMC_NBL0","NBL0 [SDRAM_LDQM]"
"142","PE1","I/O","FMC_NBL1","NBL1 [SDRAM_UDQM]"
"143","PDR_ON","Reset","",""
"144","VDD","Power","",""
